video_link,video_id,video_name,channel_name,channel_country,published_at,subscribers,views,comments,likes
https://www.youtube.com/watch?v=7LVSrTZDopM,7LVSrTZDopM,"Climate ""Science"" | Dr. Richard Lindzen | EP 320",Jordan B Peterson,US,2023-01-05T16:22:46Z,8830000,1433670,8335,39976
https://www.youtube.com/watch?v=CjUELdcQKqM,CjUELdcQKqM,Canada Removes Carbon Tax,Omar Agamy,CA,2025-03-14T22:47:13Z,2980000,330938,1386,29456
https://www.youtube.com/watch?v=YzVqzrTLHkU,YzVqzrTLHkU,"SHOCKING Canadian Proposed Bill Would CRIMINALIZE ""Positive Speech"" on Fossil Fuels! Viva Frei vlawg",Viva Frei,CA,2024-04-24T15:13:23Z,661000,19413,342,1543
https://www.youtube.com/watch?v=AhdDNf8awDs,AhdDNf8awDs,"Ignoring Sask, Carney Jets Off To Europe, AGAIN + Libs Dump Another $5 million Into Climate Change",The Canadian Shield,CA,2025-08-24T11:36:35Z,51200,20958,673,2631
https://www.youtube.com/watch?v=V-oueWM3cR4,V-oueWM3cR4,Canadian Govt to BAN Positive Speech on Fossil Fuels,Clyde Do Something,CA,2024-02-14T00:26:03Z,178000,21758,1015,2623
https://www.youtube.com/watch?v=vcKOZtlyqSg,vcKOZtlyqSg,Canada has OFFICIALLY JUMPED THE SHARK on Climate Change,Unacceptable Fringe,CA,2025-09-13T16:39:00Z,149000,27776,867,2404
https://www.youtube.com/watch?v=4gX7kUSaNtM,4gX7kUSaNtM,"Canada Needs to Abandon The Net Zero Fallacy, To Discuss Reality",The LeDrew Three Minute Interview,CA,2025-05-14T10:00:08Z,41200,5008,152,846
https://www.youtube.com/watch?v=MYeNK2rGeHY,MYeNK2rGeHY,Canada faces pressure from US over wildfire smoke,Global News,CA,2025-07-10T00:00:24Z,4820000,85506,1111,429
https://www.youtube.com/watch?v=seMTd1xoD2U,seMTd1xoD2U,Carbon Tax rebate: Do you really get back more than you pay? | About That,CBC News,CA,2024-03-28T19:34:15Z,4440000,290876,5146,3756
https://www.youtube.com/watch?v=LyITDrxk0uA,LyITDrxk0uA,"'He's lying to us,' Mark Carney on Pierre Poilievre's carbon tax approach",CTV News,CA,2025-01-31T14:54:27Z,2170000,916799,4442,23420
https://www.youtube.com/watch?v=MUSW1JTTtqc,MUSW1JTTtqc,"CO2 emissions are up across Canada, down in Alberta and Saskatchewan",Rebel News,CA,2024-05-04T19:26:28Z,1910000,18403,234,1138
https://www.youtube.com/watch?v=b01BK8IwFU8,b01BK8IwFU8,Poilievre accuses Carney of bringing back Carbon Tax in form of clean fuel regulations,CityNews,CA,2025-08-27T22:51:07Z,563000,11258,155,74
https://www.youtube.com/watch?v=L-YRMMKs4U4,L-YRMMKs4U4,"It's not climate change that flooded Toronto, it was rain.",Toronto Sun,CA,2024-07-16T19:26:54Z,278000,40471,389,4444
https://www.youtube.com/watch?v=7ySS43uBT64,7ySS43uBT64,Biggest HOAX of 2023,Juno News,CA,2023-12-29T19:00:11Z,262000,28335,410,3063
https://www.youtube.com/watch?v=J-verM2HMeY,J-verM2HMeY,Forests used to catch fire like this all the time,National Post,CA,2023-07-10T22:04:21Z,190000,133369,816,6038
https://www.youtube.com/watch?v=CxTOVfbZ9wQ,CxTOVfbZ9wQ,Canadians vs. Climate Change - The Media Is BRAINWASHING Them!,Unify Canada,N/A,2025-08-21T19:01:49Z,11800,10026,767,737
https://www.youtube.com/watch?v=zybv3GqqiM8,zybv3GqqiM8,Alex Epstein Explains How Fossil Fuels Are Saving the Planet | Real Talk | PragerU,PragerU,US,2025-06-04T15:30:16Z,3450000,213819,182,494
https://www.youtube.com/watch?v=2W3pxOYrxVw ,2W3pxOYrxVw,"Renewable Energy, Fossil Fuels, and the Climate Debate | Alex Epstein | EP 514",Jordan B Peterson,US,2025-01-13T22:00:01Z,8830000,150960,755,4689
https://www.youtube.com/watch?v=sAbkFYcxEic ,sAbkFYcxEic,Judith Curry: Climate Scientists Can’t Intimidate Me | Stories of Us,PragerU,US,2024-04-30T18:00:08Z,3450000,696478,579,6178
https://www.youtube.com/watch?v=EcxQZ8ub54Y ,EcxQZ8ub54Y,"Questioning the ""Science Is Settled"" Climate Change Narrative",JRE Clips,US,2025-10-21T17:00:16Z,8320000,367570,2324,9559
https://www.youtube.com/watch?v=UL9AeeFyNKw ,UL9AeeFyNKw,Scientist Destroys Green Energy Narrative w/ Facts in Minutes | Bjørn Lomborg,The Rubin Report,US,2025-03-04T23:15:07Z,3130000,552477,1797,14053
https://www.youtube.com/watch?v=Xd7djd5NfsA ,Xd7djd5NfsA,Climate Change Croaks Capitalism?,CDN,CA,2025-05-21T17:01:01Z,125000,58944,495,5738
https://www.youtube.com/watch?v=uQLN8rBLPqo ,uQLN8rBLPqo,Charlie Kirk DESTROYS Entitled Environmentalist,Turning Point USA,US,2023-06-29T18:15:05Z,4870000,197060,542,11287
https://www.youtube.com/watch?v=xV0cm9qM8Dw ,xV0cm9qM8Dw,Bill Gates Suddenly Says “Don’t Worry About Climate Change”,Kim Iversen,US,2025-10-31T22:01:38Z,720000,30672,523,1976
https://www.youtube.com/watch?v=BOMFGcOEb84 ,BOMFGcOEb84,Have we reached peak greenhouse gas emissions?,zentouro,US,2024-01-05T16:52:20Z,34600,9636,112,874
https://www.youtube.com/watch?v=1dRgCsZ1q7g ,1dRgCsZ1q7g,My Favorite Climate Graph,vlogbrothers,US,2024-02-09T17:00:46Z,4050000,407696,1608,23575
https://www.youtube.com/watch?v=p9S_IKwwyeM ,p9S_IKwwyeM,We've pushed our climate too far,Dr Gilbz,GB,2025-10-22T11:07:02Z,16700,19159,510,1881
https://www.youtube.com/watch?v=GrSvbUX93Mg ,GrSvbUX93Mg,I Can't Stop Thinking that People Who Deny Climate Change are Lying,Hank Green,US,2023-08-31T20:20:55Z,2790000,624359,10334,40741
https://www.youtube.com/watch?v=KLYMjPNppRQ ,KLYMjPNppRQ,America's Dumbest Crop,Climate Town,US,2025-10-02T16:30:09Z,673000,596327,4198,41685
https://www.youtube.com/watch?v=_OBlKRdH6A4 ,_OBlKRdH6A4,The future of climate denial,Simon Clark,GB,2025-10-26T17:49:28Z,693000,127627,1007,8167
https://www.youtube.com/watch?v=77RobHGXR5I ,77RobHGXR5I,This Climate Graph has a Nasty Secret,Sabine Hossenfelder,DE,2024-07-17T15:00:05Z,1740000,1278182,7234,30998
https://www.youtube.com/watch?v=vVi01vJ4nxM ,vVi01vJ4nxM,Judith Curry: How Climate “Science” Got Hijacked by Alarmists,John Stossel,US,2023-08-08T11:30:20Z,1130000,870635,9500,60222
https://www.youtube.com/watch?v=42xHuSmwYa4 ,42xHuSmwYa4,Does TikTok have a climate change denial problem? – BBC News,BBC News,GB,2023-07-09T11:00:03Z,18900000,33105,652,655
https://www.youtube.com/watch?v=fExmlN2o10o ,fExmlN2o10o,"Has Greta ""Changed""?",The Bitchuation Room (with Francesca Fiorentini),US,2025-10-31T15:01:32Z,240000,43006,883,5230
https://www.youtube.com/watch?v=77Q07i1HSYc ,77Q07i1HSYc,The Truth About Climate Change That I’ve Avoided For So Long… | GEO GIRL,GEO GIRL,US,2025-03-05T23:00:57Z,112000,50149,2578,5401
https://www.youtube.com/watch?v=afYRZUhE1-o ,afYRZUhE1-o,"Climate Change: ""An APPALLING Scam!"" w/ Jordan Peterson",Matt Fradd,US,2024-05-10T19:38:51Z,777000,85416,923,3821
https://www.youtube.com/watch?v=J1KGnCj_cfM ,J1KGnCj_cfM,How do we know climate change is caused by humans?,Sabine Hossenfelder,DE,2024-01-25T16:00:18Z,1740000,636906,16204,27876
https://www.youtube.com/watch?v=WZZu7eSc9l8 ,WZZu7eSc9l8,Expert Destroys The Climate Change Hoax In 10 Minutes (Michael Shellenberger),Zuby,GB,2025-10-27T15:46:25Z,281000,165093,1669,7918
https://www.youtube.com/watch?v=LJVxAJ_jegA ,LJVxAJ_jegA,Debunking 3 Major Climate Change Lies,The Heritage Foundation,US,2024-12-27T21:31:43Z,459000,74772,1220,5595
https://www.youtube.com/watch?v=FKtCuwfUCJg ,FKtCuwfUCJg,Should lying about climate change be illegal?,Simon Clark,GB,2025-09-24T16:01:04Z,693000,156907,857,9568
